club_id	name	club_type	host_school	city	postal_code	website	meeting_note	status	status_note
hack-club-university-city-high	Hack Club at University City High School	hack-club	University City High School	San Diego	92122			active
hack-club-la-jolla-high	Hack Club at La Jolla High School	hack-club	La Jolla High School	La Jolla	92037			active
hack-club-helix-charter-high	Hack Club at Helix Charter High School	hack-club	Helix Charter High School	La Mesa	91941			active
hack-club-mater-dei-catholic-high	Hack Club at Mater Dei Catholic High School	hack-club	Mater Dei Catholic High School	Chula Vista	91913			active
