School	District	City	Zip	WebSite	Latitude	Longitude	StatusType	Virtual
Turtleback Elementary	Poway Unified	San Diego	92127	www.powayusd.com/pusdtes	33.004949	-117.088140	Active	N
Twain High	San Diego Unified	San Diego	92111	https://twain.sandiegounified.org/	32.771471	-117.179330	Active	C
Twin Oaks Elementary	San Marcos Unified	San Marcos	92069	www.smusd.org	33.178528	-117.155440	Active	N
Twin Oaks High	San Marcos Unified	San Marcos	92069	www.smusd.org	33.179778	-117.159100	Active	N
Twin Peaks Middle	Poway Unified	Poway	92064	www.powayusd.com/pusdtpms	32.980105	-117.027690	Active	C
University City High	San Diego Unified	San Diego	92122	www.universitycityhigh.org	32.861197	-117.209540	Active	C
Urban Discovery Academy Charter	San Diego Unified	San Diego	92101	www.urbansd.com	32.714193	-117.152240	Active	N
VIP Village Preschool	South Bay Union	Imperial Beach	91932	www.sbusd.org	32.574671	-117.112110	Active	N
Valencia Park Elementary	San Diego Unified	San Diego	92114	www.valenciapark.sandiegounified.org/	32.701466	-117.071780	Active	N
Valhalla High	Grossmont Union High	El Cajon	92019	http://valhalla.guhsd.net/	32.762192	-116.920370	Active	C
Valle Lindo Elementary	Chula Vista Elementary	Chula Vista	91911	https://vallelindo.cvesd.org/	32.604937	-117.032750	Active	N
Vallecitos Elementary	Vallecitos Elementary	Rainbow	92028	No Data	33.413921	-117.148710	Active	N
Valley Center Elementary	Valley Center-Pauma Unified	Valley Center	92082	http://vceus.vcpusd.org	33.234769	-117.023970	Active	N
Valley Center High	Valley Center-Pauma Unified	Valley Center	92082	http://vchs.vcpusd.org	33.279829	-117.023790	Active	N
Valley Center Middle	Valley Center-Pauma Unified	Valley Center	92082	http://vcms.vcpusd.org	33.224381	-116.975670	Active	N
Valley Center Prep	Valley Center-Pauma Unified	Valley Center	92082	http://vcprep.vcpusd.org	33.236018	-117.021440	Active	N
Valley Center Primary	Valley Center-Pauma Unified	Valley Center	92082	http://vcps.vcpusd.org	33.239526	-117.021570	Active	N
Valley Elementary	Poway Unified	Poway	92064	www.powayusd.com/pusdves	32.953597	-117.045260	Active	N
Valley High (Continuation)	Escondido Union High	Escondido	92027	www.vhsgrizzlies.com	33.142244	-117.023260	Active	C
Valley Middle	Carlsbad Unified	Carlsbad	92008	https://vms.carlsbadusd.net/	33.158874	-117.329310	Active	N
Valley Vista Elementary	Chula Vista Elementary	Bonita	91902	https://valleyvista.cvesd.org/	32.659676	-117.049070	Active	N
Veterans Elementary	Chula Vista Elementary	Chula Vista	91913	https://veterans.cvesd.org/	32.623835	-116.976340	Active	N
Village Preschool	Coronado Unified	Coronado	92118	www.coronadousd.net	32.693374	-117.181480	Active	N
Vista Academy of Visual and Performing Arts	Vista Unified	Vista	92083	http://vapa.vistausd.org	33.207469	-117.245080	Active	N
Vista Adult	Vista Unified	Vista	92081	http://vistaadultschool.org	33.187198	-117.240380	Active	N
Vista Adult Transition Center	Vista Unified	Vista	92084	http://vatc.vistausd.org	33.221287	-117.241110	Active	N
Vista Del Mar	San Ysidro Elementary	San Diego	92154	www.sysdschools.org	32.570714	-117.028020	Active	N
Vista Grande Elementary	Cajon Valley Union	El Cajon	92019	No Data	32.765080	-116.915010	Active	N
Vista Grande Elementary	San Diego Unified	San Diego	92124	www.vistagrande.sandiegounified.org/	32.834267	-117.107090	Active	N
Vista High	Vista Unified	Vista	92084	http://vhs.vistausd.org	33.225798	-117.241000	Active	N
Vista Innovation and Design Academy	Vista Unified	Vista	92084	www.vida.vistausd.org	33.203133	-117.205610	Active	N
Vista La Mesa Academy	Lemon Grove	La Mesa	91941	https://vlma.lemongrovesd.net/	32.748456	-117.044970	Active	N
Vista Magnet Middle School of Technology, Science, and Math	Vista Unified	Vista	92084	http://vmms.vistausd.org	33.203140	-117.236670	Active	N
Vista Springs Charter	San Diego County Office of Education	Vista	92084	www.springscharterschools.org	33.220678	-117.234430	Active	N
Vista Square Elementary	Chula Vista Elementary	Chula Vista	91910	https://vistasquare.cvesd.org/	32.635041	-117.088320	Active	N
Vista Visions Academy	Vista Unified	Vista	92084	http://vva.vistausd.org	33.222677	-117.219240	Active	C
Vivian Banks Charter	Bonsall Unified	Pala	92059	www.bonsallusd.com	33.365115	-117.071710	Active	N
W. D. Hall Elementary	Cajon Valley Union	El Cajon	92021	No Data	32.820878	-116.931160	Active	N
Walker Elementary	San Diego Unified	San Diego	92126	www.walker.sandiegounified.org/	32.912841	-117.126690	Active	N
Wangenheim Middle	San Diego Unified	San Diego	92126	www.wangenheim.sandiegounified.org/	32.905408	-117.126460	Active	N
Warner Elementary	Warner Unified	Warner Springs	92086	www.warnerusd.net	33.346655	-116.730270	Active	N
Warner Junior/Senior High	Warner Unified	Warner Springs	92086	www.warnerusd.net	33.292294	-116.684890	Active	N
Washington Elementary	San Diego Unified	San Diego	92101	www.washington.sandiegounified.org/	32.724215	-117.166700	Active	N
Webster Elementary	San Diego Unified	San Diego	92102	www.webster.sandiegounified.org/	32.724157	-117.092390	Active	N
Wegeforth Elementary	San Diego Unified	San Diego	92123	www.wegeforth.sandiegounified.org/	32.805607	-117.136500	Active	N
West Hills High	Grossmont Union High	Santee	92071	http://wolfpack.guhsd.net/	32.849846	-117.012970	Active	C
Westview High	Poway Unified	San Diego	92129	www.powayusd.com/pusdwvhs	32.965082	-117.148080	Active	C
Westwood Elementary	Poway Unified	San Diego	92127	www.powayusd.com/pusdwwes	33.031190	-117.086950	Active	N
Whitman Elementary	San Diego Unified	San Diego	92117	www.whitman.sandiegounified.org/	32.836074	-117.203210	Active	N
Whittier K-12	San Diego Unified	San Diego	92117	https://whittier.sandiegounified.org/	32.803799	-117.199290	Active	C
William H. Frazier Elementary	Fallbrook Union Elementary	Fallbrook	92028	No Data	33.387442	-117.224130	Active	N
Willow Elementary	San Ysidro Elementary	San Ysidro	92173	www.sysdschools.org	32.547737	-117.042350	Active	N
Willow Grove Elementary	Poway Unified	San Diego	92127	www.powayusd.com/pusdwges	32.993542	-117.161040	Active	N
Wilson Middle	San Diego Unified	San Diego	92105	www.wilson.sandiegounified.org/	32.753259	-117.111950	Active	N
Winter Gardens Elementary	Lakeside Union	Lakeside	92040	www.lsusd.net	32.831458	-116.931220	Active	N
Wolf Canyon Elementary	Chula Vista Elementary	Chula Vista	91913	https://wolfcanyon.cvesd.org/	32.611931	-116.973240	Active	N
Woodland Park Middle	San Marcos Unified	San Marcos	92069	www.smusd.org	33.147436	-117.129580	Active	N
Zamorano Elementary	San Diego Unified	San Diego	92139	https://zamorano.sandiegounified.org/	32.680338	-117.038640	Active	N
e3 Civic High	San Diego Unified	San Diego	92101	https://www.e3civichigh.com/	32.709215	-117.154650	Active	C
