School	District	City	Zip	WebSite	Latitude	Longitude	StatusType	Virtual
Classical Academy High	Escondido Union High	Escondido	92025	www.classicalacademy.com	33.124186	-117.080570	Active	C
Classical Academy Vista	San Diego County Office of Education	Vista	92083	www.classicalacademy.com	33.172498	-117.220660	Active	N
Clear View	Chula Vista Elementary	Chula Vista	91910	https://clearview.cvesd.org/	32.644805	-117.045060	Active	N
Clover Flat Elementary	Mountain Empire Unified	Boulevard	91905	No Data	32.668361	-116.295890	Active	N
Coastal Academy Charter	Oceanside Unified	Oceanside	92056	http://classicalacademy.com/	33.206522	-117.292920	Active	C
College Preparatory Middle	La Mesa-Spring Valley	Spring Valley	91977	www.mycpms.net	32.745829	-116.971300	Active	N
Community Montessori	San Diego County Office of Education	Escondido	92026	www.cmcharter.org	33.129426	-117.112090	Active	N
Conway Elementary	Escondido Union	Escondido	92027	www.eusd.org	33.146289	-117.073980	Active	N
Cook (Hazel Goes) Elementary	Chula Vista Elementary	Chula Vista	91911	https://cook.cvesd.org/	32.625934	-117.056200	Active	N
Coronado High	Coronado Unified	Coronado	92118	https://chs.coronadousd.net/	32.691904	-117.178370	Active	N
Coronado Middle	Coronado Unified	Coronado	92118	https://cms.coronadousd.net/	32.694002	-117.179710	Active	N
Coronado Village Elementary	Coronado Unified	Coronado	92118	https://village.coronadousd.net/	32.693914	-117.182130	Active	N
Correia Middle	San Diego Unified	San Diego	92107	www.correia.sandiegounified.org/	32.748723	-117.231330	Active	N
Cottonwood Community Day	Mountain Empire Unified	Pine Valley	91962	No Data	32.732694	-116.494250	Active	N
Crawford High	San Diego Unified	San Diego	92115	https://crawford.sandiegounified.org/	32.752163	-117.076940	Active	C
Creative Performing and Media Arts	San Diego Unified	San Diego	92117	https://www.cpma.sandiegounified.org/	32.835962	-117.182000	Active	N
Creekside Early Learning Center	Alpine Union Elementary	Alpine	91901	www.alpineschools.net/creekside	32.832208	-116.815070	Active	N
Creekside Elementary	Poway Unified	San Diego	92128	www.powayusd.com/pusdcses	32.943627	-117.075510	Active	N
Crest Elementary	Cajon Valley Union	El Cajon	92021	No Data	32.805538	-116.866470	Active	N
Crown Point Elementary	San Diego Unified	San Diego	92109	https://www.crownpoint.sandiegounified.org/	32.793243	-117.238890	Active	N
Cubberley Elementary	San Diego Unified	San Diego	92123	www.cubberley.sandiegounified.org/	32.801667	-117.127140	Active	N
Curie Elementary	San Diego Unified	San Diego	92122	https://www.curie.sandiegounified.org/	32.854678	-117.203030	Active	N
DREAM Academy	Lakeside Union	Lakeside	92040	https://www.lsusd.net/dream-academy/	32.891662	-116.946630	Active	N
Dailard Elementary	San Diego Unified	San Diego	92120	https://www.dailard.sandiegounified.org/	32.804463	-117.053900	Active	N
Dana	San Diego Unified	San Diego	92106	https://www.dana.sandiegounified.org/	32.733110	-117.233460	Active	N
Darnall Charter	San Diego Unified	San Diego	92115	https://www.darnallcharter.org/	32.746606	-117.066760	Active	N
Davila Day	San Diego County Office of Education	Chula Vista	91910	No Data	32.635041	-117.088320	Active	N
De Portola Middle	San Diego Unified	San Diego	92124	https://www.deportola.sandiegounified.org/	32.828049	-117.092020	Active	N
Deer Canyon Elementary	Poway Unified	San Diego	92129	www.powayusd.com/pusddces	32.964038	-117.143770	Active	N
Dehesa Elementary	Dehesa Elementary	El Cajon	92019	https://dehesasd.net/	32.781239	-116.851200	Active	N
Del Dios Academy of Arts and Sciences	Escondido Union	Escondido	92025	www.eusd.org	33.110370	-117.101170	Active	N
Del Lago Academy - Campus of Applied Science	Escondido Union High	Escondido	92029	www.dellagoacademy.org/	33.096589	-117.103490	Active	C
Del Mar Heights Elementary	Del Mar Union Elementary	Del Mar	92014	www.dmusd.org/heights	32.945637	-117.249730	Active	N
Del Mar Hills Elementary	Del Mar Union Elementary	Del Mar	92014	www.dmusd.org/hills	32.954058	-117.247240	Active	N
Del Norte High	Poway Unified	San Diego	92127	www.powayusd.com/pusddnhs	33.015119	-117.121620	Active	C
Del Rio STEM Academy	Oceanside Unified	Oceanside	92057	https://delrio.oside.us	33.255349	-117.294860	Active	N
Del Sur Elementary	Poway Unified	San Diego	92127	www.powayusd.com/pusddses	33.018500	-117.140560	Active	N
Descanso Elementary	Mountain Empire Unified	Descanso	91916	No Data	32.858654	-116.613410	Active	N
Design 39 Campus	Poway Unified	San Diego	92127	www.powayusd.com/pusddesign39/	33.018484	-117.127150	Active	N
Dewey Elementary	San Diego Unified	San Diego	92110	https://www.dewey.sandiegounified.org/	32.747540	-117.208040	Active	N
Diegueno Middle	San Dieguito Union High	Encinitas	92024	No Data	33.056629	-117.242020	Active	N
Dimensions Collaborative	San Diego County Office of Education	Escondido	92026	www.dimensions.org	33.129426	-117.112090	Active	N
Dingeman Elementary	San Diego Unified	San Diego	92131	https://www.dingeman.sandiegounified.org/	32.933134	-117.090700	Active	N
Discovery Charter	Chula Vista Elementary	Chula Vista	91910	https://discovery.cvesd.org/	32.641918	-117.017590	Active	N
Discovery Elementary	San Marcos Unified	San Marcos	92078	www.smusd.org	33.129296	-117.190500	Active	N
Double Peak	San Marcos Unified	San Marcos	92078	www.smusd.org	33.106382	-117.165820	Active	N
Doyle Elementary	San Diego Unified	San Diego	92122	www.doyle.sandiegounified.org/	32.863694	-117.221840	Active	N
Dual Language Immersion North County	San Diego County Office of Education	Vista	92803	https://www.dlinorthcounty.org/	33.172999	-117.219970	Active	N
EJE Dual Language Academy Charter	Cajon Valley Union	El Cajon	92020	No Data	32.784935	-116.970830	Active	N
Earl Warren Middle	San Dieguito Union High	Solana Beach	92075	No Data	32.995158	-117.262420	Active	N
East Hills Academy	Sweetwater Union High	Chula Vista	91913	www.sweetwaterschools.org/	32.610100	-117.076800	Active	N
East Village Middle College High	San Diego Unified	San Diego	92101	https://eastvillage.sandiegounified.org/	32.718606	-117.152530	Active	C
EastLake Elementary	Chula Vista Elementary	Chula Vista	91913	https://eastlake.cvesd.org/	32.657494	-116.985150	Active	N
Eastlake High	Sweetwater Union High	Chula Vista	91915	www.sweetwaterschools.org	32.646442	-116.965220	Active	N
Eastlake Middle	Sweetwater Union High	Chula Vista	91914	https://elm.sweetwaterschools.org/	32.655591	-116.948180	Active	N
Edison Elementary	San Diego Unified	San Diego	92104	www.edison.sandiegounified.org/	32.751057	-117.118040	Active	N
El Cajon Adult Center	Grossmont Union High	El Cajon	92021	http://adultschool.guhsd.net/	32.800160	-116.945940	Active	C
El Cajon Valley High	Grossmont Union High	El Cajon	92021	http://braves.guhsd.net/	32.800133	-116.947280	Active	C
El Camino Creek Elementary	Encinitas Union Elementary	Carlsbad	92009	www.eusd.k12.ca.us/ec	33.077016	-117.258920	Active	N
El Camino High	Oceanside Unified	Oceanside	92057	https://echs.oside.us	33.219594	-117.319090	Active	C
El Capitan High	Grossmont Union High	Lakeside	92040	http://elcapitan.guhsd.net/	32.868106	-116.914890	Active	C
El Toyon Elementary	National Elementary	National City	91950	No Data	32.688436	-117.088890	Active	N
Elevate	San Diego Unified	San Diego	92123	https://www.elevateschool.com/	32.786288	-117.144340	Active	N
Elite Academy	Grossmont Union High	El Cajon	92019	https://elite.guhsd.net	32.793615	-116.934950	Active	C
Emory Elementary	South Bay Union	San Diego	92154	No Data	32.576466	-117.091590	Active	N
Empower	Cajon Valley Union	El Cajon	92020	www.cajonvalley.net	32.795836	-116.954890	Active	N
Empower Language Academy	San Diego Unified	San Diego	92111	https://empowercharter.org/	32.772316	-117.178120	Active	N
Empresa Elementary	Vista Unified	Oceanside	92056	http://emp.vistausd.org	33.223041	-117.287710	Active	N
Encanto Elementary	San Diego Unified	San Diego	92114	https://www.encanto.sandiegounified.org/	32.714909	-117.058040	Active	N
Ericson Elementary	San Diego Unified	San Diego	92126	www.ericson.sandiegounified.org/	32.927749	-117.135650	Active	N
Escondido Adult	Escondido Union High	Escondido	92025	www.escondidoadultschool.org	33.131196	-117.088460	Active	C
Escondido Charter High	Escondido Union High	Escondido	92027	www.echs.org	33.136449	-117.054260	Active	C
Escondido High	Escondido Union High	Escondido	92026	www.ehscougars.com	33.144413	-117.090280	Active	C
Euclid Elementary	San Diego Unified	San Diego	92105	www.euclid.sandiegounified.org/	32.752319	-117.092260	Active	N
Fahari L. Jeffers Elementary	Chula Vista Elementary	Chula Vista	91913	No Data	32.598209	-116.998010	Active	C
Fallbrook High	Fallbrook Union High	Fallbrook	92028	www.fallbrookhs.org	33.349505	-117.241370	Active	C
Fallbrook STEM Academy	Fallbrook Union Elementary	Fallbrook	92028	http://fss.fuesd.org/	33.376687	-117.255310	Active	N
Fallbrook Virtual Academy	Fallbrook Union Elementary	Fallbrook	92028	https://fva.fuesd.org	33.378171	-117.235460	Active	N
Farb Middle	San Diego Unified	San Diego	92124	https://www.farb.sandiegounified.org/	32.819754	-117.099950	Active	N
Farr Avenue Elementary	Escondido Union	Escondido	92026	www.eusd.org	33.138769	-117.077600	Active	N
Fay Elementary	San Diego Unified	San Diego	92105	www.fay.sandiegounified.org/	32.750942	-117.083610	Active	N
Feaster (Mae L.) Charter	Chula Vista Elementary	Chula Vista	91910	https://feaster.cvesd.org/	32.642227	-117.096860	Active	N
Felicita Elementary	Escondido Union	Escondido	92025	www.eusd.org	33.106493	-117.082450	Active	N
Field Elementary	San Diego Unified	San Diego	92117	https://www.field.sandiegounified.org/	32.832971	-117.199270	Active	N
Finney (Myrtle S.) Elementary	Chula Vista Elementary	San Diego	92154	http://schools.cvesd.org/schools/finney/	32.584496	-117.048390	Active	N
Fletcher Elementary	San Diego Unified	San Diego	92123	www.fletcher.sandiegounified.org/	32.785778	-117.158500	Active	N
Fletcher Hills Elementary	La Mesa-Spring Valley	El Cajon	92020	www.lmsvschools.org	32.800478	-116.996180	Active	N
Flora Vista Elementary	Encinitas Union Elementary	Encinitas	92024	www.eusd.k12.ca.us/fv	33.055334	-117.252880	Active	N
Florence Elementary	San Diego Unified	San Diego	92103	www.florence.sandiegounified.org/	32.748814	-117.163910	Active	N
Flying Hills School of Arts	Cajon Valley Union	El Cajon	92020	No Data	32.811827	-116.982400	Active	N
Foothill Oak Elementary	Vista Unified	Vista	92084	http://fho.vistausd.org	33.218194	-117.221870	Active	N
Foothills Adult Education Center	Grossmont Union High	El Cajon	92019	http://adultschool.guhsd.net/	32.797130	-116.924360	Active	C
Foothills High	San Marcos Unified	San Marcos	92069	www.smusd.org	33.180651	-117.158680	Active	N
Foster Elementary	San Diego Unified	San Diego	92120	www.foster.sandiegounified.org/	32.791734	-117.084100	Active	N
Foussat Language Academy	Oceanside Unified	Oceanside	92058	https://foussat.oside.us	33.237973	-117.329140	Active	N
Franklin Elementary	San Diego Unified	San Diego	92116	www.franklin.sandiegounified.org/	32.758060	-117.104000	Active	N
Freese Elementary	San Diego Unified	San Diego	92114	https://www.freese.sandiegounified.org/	32.703611	-117.027410	Active	N
Fuerte Elementary	Cajon Valley Union	El Cajon	92020	No Data	32.762217	-116.946780	Active	N
Fulton K-8	San Diego Unified	San Diego	92114	www.fulton.sandiegounified.org/	32.702667	-117.047410	Active	N
Future Bound Independent Study Secondary	Ramona City Unified	Ramona	92065	https://mhs.ramonausd.net	33.039022	-116.863970	Active	N
Gage Elementary	San Diego Unified	San Diego	92119	https://www.gage.sandiegounified.org/	32.806947	-117.014740	Active	N
Garden Road Elementary	Poway Unified	Poway	92064	www.powayusd.com/pusdgres	32.956246	-117.014340	Active	N
Garfield Elementary	San Diego Unified	San Diego	92116	www.garfield.sandiegounified.org/	32.758300	-117.135120	Active	N
Garfield High	San Diego Unified	San Diego	92101	www.garfieldhigh.sandiegounified.org/	32.718735	-117.149530	Active	C
George Nicoloff Elementary	South Bay Union	San Ysidro	92173	No Data	32.564248	-117.066620	Active	N
Glen View Elementary	Escondido Union	Escondido	92027	www.eusd.org	33.146627	-117.053740	Active	N
Godfrey G. Berry Elementary	South Bay Union	San Diego	92154	No Data	32.568151	-117.089990	Active	N
Golden Hill TK-5 Dual Language Immersion Elementary	San Diego Unified	San Diego	92102	https://goldenhill.sandiegounified.org/	32.718760	-117.123180	Active	N
Gompers Preparatory Academy	San Diego Unified	San Diego	92102	www.gomperscharter.org	32.716111	-117.093570	Active	C
Granger Junior High	Sweetwater Union High	National City	91950	www.sweetwaterschools.org	32.672621	-117.073830	Active	N
Granite Hills High	Grossmont Union High	El Cajon	92019	http://granite.guhsd.net/	32.800159	-116.916810	Active	C
Grant K-8	San Diego Unified	San Diego	92103	https://www.grant.sandiegounified.org/	32.749893	-117.175620	Active	N
Grapevine Elementary	Vista Unified	Vista	92083	http://gv.vistausd.org	33.199834	-117.273740	Active	N
Greater San Diego Academy	Jamul-Dulzura Union Elementary	Jamul	91935	www.gsdacademy.com	32.728998	-116.856150	Active	N
Green Elementary	San Diego Unified	San Diego	92119	www.green.sandiegounified.org/	32.796445	-117.044950	Active	N
Greenfield Middle	Cajon Valley Union	El Cajon	92021	No Data	32.811048	-116.928340	Active	N
Grossmont Adult	Grossmont Union High	El Cajon	92019	http://adultschool.guhsd.net/	32.797130	-116.924360	Active	C
Grossmont High	Grossmont Union High	La Mesa	91944	www.foothillers.com	32.780670	-116.984980	Active	C
Grossmont Middle College High	Grossmont Union High	El Cajon	92020	http://middlecollege.guhsd.net	32.814927	-117.008890	Active	C
Guajome Learning Centers	Vista Unified	Vista	92083	www.guajome.net	33.230575	-117.250140	Active	C
Guajome Park Academy Charter	Vista Unified	Vista	92083	www.guajome.net	33.230120	-117.248770	Active	C
HOPE Infant-Toddler Special Education	San Diego County Office of Education	San Diego	92111	No Data	32.769578	-117.179840	Active	N
Hage Elementary	San Diego Unified	San Diego	92126	https://www.hage.sandiegounified.org/	32.920514	-117.120940	Active	N
Halecrest Elementary	Chula Vista Elementary	Chula Vista	91910	https://halecrest.cvesd.org/	32.634394	-117.043310	Active	N
Hamilton Elementary	San Diego Unified	San Diego	92105	https://www.hamilton.sandiegounified.org/	32.736135	-117.100960	Active	N
Hancock Elementary	San Diego Unified	San Diego	92124	www.hancock.sandiegounified.org/	32.805301	-117.108000	Active	N
Hannalei Elementary	Vista Unified	Vista	92083	http://han.vistausd.org	33.178337	-117.215750	Active	N
Hanson Elementary	Ramona City Unified	Ramona	92065	https://hes.ramonausd.net	33.018565	-116.890730	Active	N
Harbor Springs Charter	Julian Union Elementary	Temecula	92590	www.springscharterschools.org	33.511615	-117.157680	Active	N
Harborside Elementary	Chula Vista Elementary	Chula Vista	91911	https://harborside.cvesd.org/	32.609058	-117.085510	Active	N
Hardy Elementary	San Diego Unified	San Diego	92115	https://www.hardy.sandiegounified.org/	32.771216	-117.079740	Active	N
Harriet Tubman Village Charter	San Diego Unified	San Diego	92115	www.tubmancharter.org	32.769775	-117.049750	Active	N
Hawking S.T.E.A.M. Charter	Sweetwater Union High	Chula Vista	91910	www.hawkingschools.org	32.643349	-117.088960	Active	N
Hawthorne Elementary	San Diego Unified	San Diego	92117	www.hawthorne.sandiegounified.org/	32.838493	-117.188640	Active	N
Health Sciences High and Middle College	San Diego Unified	San Diego	92105	http://hshmc.org	32.749745	-117.110470	Active	C
Hearst Elementary	San Diego Unified	San Diego	92120	www.hearst.sandiegounified.org/	32.782889	-117.064320	Active	N
Hedenkamp (Anne and William) Elementary	Chula Vista Elementary	Chula Vista	91913	http://schools.cvesd.org/schools/hedenkamp/	32.616740	-117.015000	Active	N
Helix High	Grossmont Union High	La Mesa	91941	www.helixcharter.net	32.755905	-117.039810	Active	C
Henry High	San Diego Unified	San Diego	92120	http://patrickhenryhs.net/	32.796333	-117.051480	Active	C
Heritage Elementary	Chula Vista Elementary	Chula Vista	91913	https://heritage.cvesd.org/	32.626236	-116.995300	Active	N
Heritage K-8 Charter	Escondido Union	Escondido	92027	No Data	33.136223	-117.054480	Active	N
Hickman Elementary	San Diego Unified	San Diego	92126	www.hickman.sandiegounified.org/	32.914994	-117.152240	Active	N
Hidden Valley Middle	Escondido Union	Escondido	92027	www.eusd.org	33.133732	-117.033290	Active	N
High Tech Elementary	San Diego Unified	San Diego	92106	www.hightechhigh.org	32.731713	-117.217370	Active	N
High Tech Elementary Chula Vista	San Diego County Office of Education	Chula Vista	91915	www.hightechhigh.org	32.619241	-116.958580	Active	N
High Tech Elementary Explorer	San Diego Unified	San Diego	92106	www.hightechhigh.org	32.734604	-117.219750	Active	N
High Tech Elementary Mesa	San Diego County Office of Education	San Diego	92111	www.hightechhigh.org	32.815661	-117.180790	Active	N
High Tech Elementary North County	San Diego County Office of Education	San Marcos	92078	www.hightechhigh.org	33.131439	-117.203770	Active	N
High Tech High	San Diego Unified	San Diego	92106	www.hightechhigh.org	32.734040	-117.215140	Active	N
High Tech High Chula Vista	San Diego County Office of Education	Chula Vista	91915	www.hightechhigh.org	32.622230	-116.959620	Active	N
High Tech High International	San Diego Unified	San Diego	92106	www.hightechhigh.org	32.732613	-117.217390	Active	N
High Tech High Media Arts	San Diego Unified	San Diego	92106	www.hightechhigh.org	32.734734	-117.219700	Active	N
High Tech High Mesa	San Diego County Office of Education	San Diego	92111	www.hightechhigh.org	32.815661	-117.180790	Active	N
High Tech High North County	San Diego County Office of Education	San Marcos	92078	www.hightechhigh.org	33.131486	-117.201530	Active	N
High Tech Middle	San Diego Unified	San Diego	92106	www.hightechhigh.org	32.735240	-117.218050	Active	N
High Tech Middle Chula Vista	San Diego County Office of Education	Chula Vista	91915	www.hightechhigh.org	32.619241	-116.958580	Active	N
High Tech Middle Media Arts	San Diego Unified	San Diego	92106	www.hightechhigh.org	32.734604	-117.219750	Active	N
High Tech Middle Mesa	San Diego County Office of Education	San Diego	92111	www.hightechhigh.org	32.815661	-117.180790	Active	N
High Tech Middle North County	San Diego County Office of Education	San Marcos	92078	www.hightechhigh.org	33.131433	-117.202320	Active	N
Highland Ranch Elementary	Poway Unified	San Diego	92128	www.powayusd.com/pusdhres	32.984064	-117.071080	Active	N
Highlands Elementary	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.737305	-116.981550	Active	N
Hill Creek Elementary	Santee	Santee	92071	www.santeesd.net	32.852951	-116.963260	Active	N
Hillsdale Middle	Cajon Valley Union	El Cajon	92019	No Data	32.749440	-116.932400	Active	N
Hillside Junior/Senior High	Mountain Empire Unified	Pine Valley	91962	No Data	32.820268	-116.526370	Active	N
Hilltop Drive Elementary	Chula Vista Elementary	Chula Vista	91910	https://hilltopdrive.cvesd.org/	32.632209	-117.064140	Active	N
Hilltop Middle	Sweetwater Union High	Chula Vista	91910	https://htm.sweetwaterschools.org/	32.630395	-117.064080	Active	N
Hilltop Senior High	Sweetwater Union High	Chula Vista	91910	www.sweetwaterschools.org	32.636851	-117.059900	Active	N
Holly Drive Leadership Academy	San Diego Unified	San Diego	92102	www.hdla.org/	32.724151	-117.092570	Active	N
Holmes Elementary	San Diego Unified	San Diego	92111	www.holmes.sandiegounified.org/	32.810047	-117.189160	Active	N
Home & Hosp/Transition Support	San Diego Unified	San Diego	92103	http://homehospital.sandiegounified.org/	32.715329	-117.157250	Active	N
Hoover High	San Diego Unified	San Diego	92115	www.hoovercardinals.org	32.755352	-117.097610	Active	C
Hope Elementary	Carlsbad Unified	Carlsbad	92010	https://hes.carlsbadusd.net	33.170986	-117.305470	Active	N
Horton Elementary	San Diego Unified	San Diego	92102	www.horton.sandiegounified.org/	32.712278	-117.086210	Active	N
Howard Gardner Community Charter	San Diego County Office of Education	Chula Vista	91910	www.hgcschool.org	32.641093	-117.095430	Active	N
Howard Pence Elementary	South Bay Union	San Diego	92154	No Data	32.579102	-117.061910	Active	N
IDEA Center	Grossmont Union High	El Cajon	92020	https://idea.guhsd.net	32.816861	-116.979650	Active	C
Ibarra Elementary	San Diego Unified	San Diego	92115	www.ibarra.sandiegounified.org/	32.753027	-117.089530	Active	N
Iftin Charter	San Diego County Office of Education	San Diego	92115	www.iftincharter.net	32.757908	-117.078140	Active	N
Imperial Beach Charter	South Bay Union	Imperial Beach	91932	www.sbusd.org	32.576599	-117.119670	Active	N
Innovation Middle	San Diego Unified	San Diego	92117	www.innovation.sandiegounified.org/	32.838063	-117.175140	Active	N
Innovations Academy	San Diego Unified	San Diego	92123	https://innovationsacademy.org/	32.834194	-117.127300	Active	N
Integrity Charter	National Elementary	National City	91950	No Data	32.676262	-117.107040	Active	N
Ira Harbison	National Elementary	National City	91950	No Data	32.685779	-117.073170	Active	N
Ivey Ranch Elementary	Oceanside Unified	Oceanside	92057	https://ivey.oside.us	33.219404	-117.301030	Active	N
Ivy High (Continuation)	Fallbrook Union High	Fallbrook	92028	www.ivyhigh.org	33.347369	-117.238080	Active	C
JCS - Cedar Cove	Julian Union Elementary	Encinitas	92024	https://cedarcove.jcs-inc.org/	33.045950	-117.264490	Active	N
JCS - Manzanita	San Diego County Office of Education	La Mesa	91942	www.jcs-inc.org	32.775721	-117.013980	Active	N
JCS - Mountain Oaks	Julian Union Elementary	Encinitas	92024	http://mountainoaks.jcs-inc.org	33.045335	-117.279870	Active	N
JCS - Pine Valley	Mountain Empire Unified	Pine Valley	91962	https://pinevalley.jcs-inc.org	32.821998	-116.528710	Active	N
Jamacha Elementary	Cajon Valley Union	El Cajon	92019	No Data	32.740143	-116.912230	Active	N
James Dukes Elementary	Ramona City Unified	Ramona	92065	https://jdes.ramonausd.net	33.007843	-116.791240	Active	N
James E. Potter Intermediate	Fallbrook Union Elementary	Fallbrook	92028	http://pjh.fuesd.org/	33.369188	-117.221640	Active	N
Jamul Elementary	Jamul-Dulzura Union Elementary	Jamul	91935	www.jdusd.net/primary.cfm	32.730137	-116.854560	Active	N
Jefferson Elementary	San Diego Unified	San Diego	92104	www.jefferson.sandiegounified.org/	32.747220	-117.132840	Active	N
Jefferson Elementary	Carlsbad Unified	Carlsbad	92008	https://jes.carlsbadusd.net	33.153787	-117.339580	Active	N
Jefferson Middle	Oceanside Unified	Oceanside	92058	https://jefferson.oside.us	33.208382	-117.363890	Active	N
Jerabek Elementary	San Diego Unified	San Diego	92131	www.jerabek.sandiegounified.org	32.908201	-117.083520	Active	N
Joan MacQueen Middle	Alpine Union Elementary	Alpine	91901	www.alpineschools.net/joanmac	32.819861	-116.778020	Active	N
John A. Otis Elementary	National Elementary	National City	91950	No Data	32.669036	-117.097200	Active	N
John Muir Language Academy	San Diego Unified	San Diego	92117	www.johnmuir.sandiegounified.org/	32.823298	-117.194190	Active	C
Johnson Elementary	Cajon Valley Union	El Cajon	92020	No Data	32.800800	-116.956200	Active	N
Johnson Elementary	San Diego Unified	San Diego	92114	www.johnson.sandiegounified.org	32.719126	-117.075140	Active	N
Joli Ann Leichtag Elementary	San Marcos Unified	Vista	92081	www.smusd.org	33.155513	-117.210790	Active	N
Jonas Salk Elementary	San Diego Unified	San Diego	92126	https://jonassalk.sandiegounified.org/	32.906344	-117.155120	Active	N
Jones Elementary	San Diego Unified	San Diego	92123	www.jones.sandiegounified.org/	32.796255	-117.142420	Active	N
Joyner Elementary	San Diego Unified	San Diego	92105	www.joyner.sandiegounified.org/	32.742094	-117.102700	Active	N
Juarez Elementary	San Diego Unified	San Diego	92123	www.juarez.sandiegounified.org/	32.792242	-117.125890	Active	N
Juarez-Lincoln Elementary	Chula Vista Elementary	San Diego	92154	https://juarezlincoln.cvesd.org/	32.580720	-117.045430	Active	N
Julian Elementary	Julian Union Elementary	Julian	92036	No Data	33.078843	-116.593860	Active	N
Julian High	Julian Union High	Julian	92036	www.juhsd.org	33.076465	-116.594510	Active	N
Julian Junior High	Julian Union Elementary	Julian	92036	No Data	33.078843	-116.593860	Active	N
Juniper Elementary	Escondido Union	Escondido	92025	www.eusd.org	33.105286	-117.067310	Active	N
KIPP Adelante Preparatory Academy	San Diego Unified	San Diego	92114	www.kippsocal.org/adelante	32.709238	-117.085100	Active	N
Kavod Charter	San Diego Unified	San Diego	92111	http://kavodcharter.org	32.819772	-117.167940	Active	N
Kearny College Connections	San Diego Unified	San Diego	92111	https://kearnyscc.sandiegounified.org/	32.798708	-117.160440	Active	C
Kearny Digital Media & Design	San Diego Unified	San Diego	92111	www.kearnydmd.sandiegounified.org/	32.798708	-117.160440	Active	C
Kearny Eng Innov & Design	San Diego Unified	San Diego	92111	www.kearnyeid.sandiegounified.org/	32.798708	-117.160440	Active	C
Kearny School of Biomedical Science and Technology	San Diego Unified	San Diego	92111	www.kearnyeid.sandiegounified.org/	32.798708	-117.160440	Active	C
Keiller Leadership Academy	San Diego Unified	San Diego	92114	www.mykla.org/	32.712076	-117.042410	Active	N
Kellogg (Karl H.) Elementary	Chula Vista Elementary	Chula Vista	91911	http://schools.cvesd.org/schools/kellogg/	32.619721	-117.048050	Active	N
Kelly Elementary	Carlsbad Unified	Carlsbad	92008	https://kes.carlsbadusd.net/	33.148360	-117.311220	Active	N
Kempton Street Literacy Academy	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.710497	-117.001750	Active	N
Kidinnu Academy	Cajon Valley Union	El Cajon	92021	www.kidinnu.com	32.809266	-116.934780	Active	N
Kimball	National Elementary	National City	91950	No Data	32.666367	-117.106370	Active	N
Kimbrough Elementary	San Diego Unified	San Diego	92102	www.kimbrough.sandiegounified.org/	32.708732	-117.132880	Active	N
Knob Hill Elementary	San Marcos Unified	San Marcos	92069	www.smusd.org	33.139633	-117.119710	Active	N
Knox Middle	San Diego Unified	San Diego	92113	www.knox.sandiegounified.org/	32.695466	-117.089460	Active	N
Kumeyaay Elementary	San Diego Unified	San Diego	92124	www.kumeyaay.sandiegounified.org/	32.836632	-117.091160	Active	N
L. R. Green Elementary	Escondido Union	Escondido	92025	www.eusd.org	33.086003	-117.059730	Active	N
La Costa Canyon High	San Dieguito Union High	Carlsbad	92009	https://lc.sduhsd.net/	33.073480	-117.229950	Active	N
La Costa Heights Elementary	Encinitas Union Elementary	Carlsbad	92009	www.eusd.k12.ca.us/lc	33.080785	-117.244840	Active	N
La Costa Meadows Elementary	San Marcos Unified	Carlsbad	92009	www.smusd.org	33.104542	-117.239950	Active	N
La Jolla Elementary	San Diego Unified	La Jolla	92037	www.lajolla.sandiegounified.org/	32.839247	-117.271670	Active	N
La Jolla High	San Diego Unified	La Jolla	92037	www.lajollahigh.sandiegounified.org/	32.833607	-117.274030	Active	C
La Mesa Arts Academy	La Mesa-Spring Valley	La Mesa	91942	www.lmsvschools.org	32.755190	-117.030250	Active	N
La Mesa Dale Elementary	La Mesa-Spring Valley	La Mesa	91941	www.lmsvschools.org	32.756625	-117.034170	Active	N
La Mirada Academy	San Marcos Unified	San Marcos	92078	www.smusd.org	33.143808	-117.203810	Active	N
La Mirada Elementary	San Ysidro Elementary	San Ysidro	92173	www.sysdschools.org	32.564207	-117.046060	Active	N
La Paloma Elementary	Fallbrook Union Elementary	Fallbrook	92028	http://lap.fuesd.org/	33.378156	-117.235390	Active	N
La Presa Elementary	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.706482	-116.993270	Active	N
Lafayette Elementary	San Diego Unified	San Diego	92117	www.lafayette.sandiegounified.org/	32.827552	-117.169140	Active	N
Lake Elementary	Vista Unified	Oceanside	92056	http://lk.vistausd.org	33.173230	-117.257910	Active	N
Lakeside Early Advantage Preschool	Lakeside Union	Lakeside	92040	www.lsusd.net	32.859273	-116.914720	Active	N
Lakeside Farms Elementary	Lakeside Union	Lakeside	92040	www.lsusd.net	32.867036	-116.935980	Active	N
Lakeside Middle	Lakeside Union	Lakeside	92040	www.lsusd.net	32.855130	-116.938040	Active	N
Lakeview Elementary	Lakeside Union	Lakeside	92040	www.lsusd.net	32.843603	-116.904280	Active	N
Language Academy	San Diego Unified	San Diego	92115	www.languageacademy.sandiegounified.org/	32.768355	-117.062270	Active	N
Las Palmas	National Elementary	National City	91950	No Data	32.672498	-117.084370	Active	N
