School	City	Zip	Latitude	Longitude	Vintages
Japanese Academy Of San Diego	San Diego	92117	32.822270	-117.191021	2021-22,2023-24
Kids Town Montessori School	Vista	92081	33.161890	-117.220141	2021-22,2023-24
Kindercare Learning Center-Paseo Ladera Sap	Chula Vista	91910	32.627440	-117.018491	2021-22
Kinderhouse Montessori School	San Diego	92121	32.907820	-117.176681	2021-22,2023-24
Kinderland Montessori	Chula Vista	91913	32.650248	-117.005227	2021-22,2023-24
Kings Academy	Escondido	92027	33.144000	-117.063401	2021-22,2023-24
La Costa Valley Preschool & Kindergarten	Carlsbad	92009	33.076480	-117.254081	2021-22,2023-24
La Jolla Country Day School	La Jolla	92037	32.878860	-117.216581	2021-22,2023-24
La Jolla Learning Works	La Jolla	92037	32.844348	-117.272799	2023-24
La Jolla Village Montessori School	La Jolla	92037	32.839340	-117.273061	2021-22,2023-24
Lat Online School	San Diego	92101	32.711256	-117.155120	2021-22,2023-24
Le Lycee Francais De San Diego	San Diego	92123	32.808825	-117.145940	2021-22
Le Lycee Francais De San Diego	San Diego	92123	32.808640	-117.145871	2023-24
Learning Academy	Lakeside	92040	32.863120	-116.941731	2021-22,2023-24
Legacy Montessori School	Poway	92064	32.959550	-117.064521	2023-24
Leport Montessori	Del Mar	92014	32.991057	-117.254436	2021-22,2023-24
Maranatha Christian Schools	San Diego	92127	33.023876	-117.136960	2021-22,2023-24
Maria Montessori School	San Diego	92117	32.825220	-117.209331	2021-22,2023-24
Mater Dei Catholic H.S.	Chula Vista	91913	32.621170	-116.975481	2021-22,2023-24
Mater Dei Catholic High School	Chula Vista	91913	32.621445	-116.975624	2023-24
Mission Bay Montessori Academy	San Diego	92122	32.844300	-117.228251	2021-22,2023-24
Montessori Achievement Centre	Spring Valley	91978	32.743740	-116.968111	2021-22
Montessori American School	Chula Vista	91910	32.651740	-117.047991	2021-22,2023-24
Montessori Child Development Center	Poway	92064	32.983900	-117.022711	2021-22,2023-24
Montessori Children'S Elementary	Ramona	92065	33.039120	-116.864481	2021-22,2023-24
Montessori Explorer Elementary	Chula Vista	91910	32.634141	-117.052038	2021-22,2023-24
Montessori Hills Academy	Chula Vista	91910	32.626883	-117.031713	2021-22,2023-24
Montessori School Of Encinitas	Encinitas	92024	33.043810	-117.258141	2021-22
Montessori School Of San Diego	San Diego	92103	32.736660	-117.174531	2021-22,2023-24
Mt Erie Christian Academy	San Diego	92113	32.700250	-117.094031	2021-22
Mt Helix Academy - Tiee	La Mesa	91942	32.786895	-116.998151	2021-22,2023-24
Mt. Helix Academy	La Mesa	91942	32.786895	-116.998151	2021-22
National University Virtual High School	La Jolla	92037	32.910920	-117.243861	2021-22
Nativity Prep Academy	San Diego	92115	32.758083	-117.065957	2021-22,2023-24
Nazareth School San Diego, Inc.	San Diego	92108	32.785258	-117.107085	2021-22,2023-24
New Haven Yfs	Vista	92085	33.212280	-117.247301	2021-22,2023-24
Newbridge School	Poway	92064	32.949460	-117.065181	2021-22
North County Christian School	Bonsall	92003	33.296175	-117.222435	2023-24
Notre Dame Academy	San Diego	92130	32.941981	-117.220761	2021-22,2023-24
Ocean View Christian Academy	San Diego	92154	32.585370	-117.080311	2021-22,2023-24
Oceanside Adventist Elementary	Oceanside	92054	33.189610	-117.348591	2021-22,2023-24
Our Lady Of Grace Elementary School	El Cajon	92020	32.803910	-117.004111	2021-22,2023-24
Our Lady Of Mt. Carmel	San Ysidro	92173	32.558010	-117.045191	2021-22,2023-24
Our Ladys School	San Diego	92102	32.711846	-117.142695	2021-22,2023-24
Pacific Academy	Encinitas	92024	33.048050	-117.277551	2021-22,2023-24
Pacific Ridge School	Carlsbad	92009	33.122870	-117.249791	2021-22
Pamoosa Creek Academy	Valley Center	92082	33.229935	-117.086751	2023-24
Pepper Valley Learning Center	El Cajon	92021	32.821260	-116.931551	2021-22,2023-24
Peppertree Montessori	Oceanside	92057	33.245594	-117.293873	2021-22
Pioneer Programs-Community School Of San Diego Hig	San Diego	92107	32.746338	-117.246744	2023-24
Ramona Faith Academy	Ramona	92065	33.050610	-116.786678	2023-24
Ramona Lutheran Church And School	Ramona	92065	33.034680	-116.875741	2021-22,2023-24
Redeemer By The Sea Lutheran Kindergarten&Preschl	Carlsbad	92011	33.113203	-117.286312	2021-22,2023-24
Reformation Lutheran School	San Diego	92117	32.828140	-117.172471	2021-22,2023-24
Renaissance Village Academy	San Diego	92129	32.968647	-117.131994	2021-22
Sacred Heart Parish School	Coronado	92118	32.689540	-117.176841	2021-22
Sam & Rose Stein Education Center	San Diego	92120	32.786360	-117.095781	2021-22,2023-24
San Diego Center For Children Academy	San Diego	92111	32.799610	-117.166681	2021-22,2023-24
San Diego French American School	La Jolla	92037	32.834380	-117.247591	2021-22,2023-24
San Diego Jewish Academy	San Diego	92130	32.934438	-117.229558	2023-24
Sanderling Waldorf School	Vista	92081	33.148449	-117.234063	2021-22,2023-24
Santa Fe Christian Schools	Solana Beach	92075	32.992120	-117.258231	2021-22,2023-24
Santa Sophia Academy	Spring Valley	91977	32.749572	-116.985225	2021-22,2023-24
Scripps Montessori School	San Diego	92131	32.898440	-117.113701	2021-22,2023-24
Scy High (Southern California Yeshiva High School)	San Diego	92111	32.804070	-117.184701	2021-22,2023-24
Seeds Of Hope Academy	Encinitas	92024	33.035904	-117.275346	2023-24
Shepherd Of The Hills Lutheran School	La Mesa	91942	32.794200	-117.001531	2021-22,2023-24
Sierra School Of San Diego	San Diego	92119	32.798704	-117.018517	2021-22
Skills Learning Center	Poway	92064	32.954790	-117.028711	2021-22,2023-24
Soille San Diego Hebrew Bay School	San Diego	92123	32.808650	-117.145011	2021-22,2023-24
South Bay Christian Academy	Chula Vista	91910	32.647410	-117.086361	2021-22,2023-24
St Augustine High School	San Diego	92104	32.734720	-117.124071	2021-22,2023-24
St Charles Borromeo Academy	San Diego	92110	32.743720	-117.208628	2021-22,2023-24
St Charles Catholic School	San Diego	92154	32.580428	-117.094602	2021-22,2023-24
St Columba School	San Diego	92123	32.803930	-117.133361	2021-22,2023-24
St Didacus School	San Diego	92116	32.761590	-117.120971	2021-22,2023-24
St Francis Of Assisi Catholic School	Vista	92083	33.197010	-117.252331	2021-22,2023-24
St Gregory The Great Catholic School	San Diego	92131	32.925790	-117.018821	2021-22,2023-24
St James Lutheran Preschool & Kindergarten	Imperial Beach	91932	32.577120	-117.114961	2021-22
St Joseph Academy	San Marcos	92078	33.147109	-117.205691	2021-22,2023-24
St Katharine Drexel Academy	San Diego	92115	32.759820	-117.074581	2021-22
St Kieran Catholic School	El Cajon	92021	32.813787	-116.928113	2021-22,2023-24
St Martin Of Tours Academy	La Mesa	91942	32.769488	-117.031519	2021-22,2023-24
St Mary School	Escondido	92025	33.111678	-117.072992	2021-22,2023-24
St Mary Star Of The Sea School	Oceanside	92054	33.188740	-117.371621	2021-22
St Michael'S School	Poway	92064	32.994369	-117.058499	2021-22,2023-24
St Patrick Catholic School	Carlsbad	92008	33.153496	-117.336192	2023-24
St Patrick School	San Diego	92104	32.743714	-117.129443	2021-22,2023-24
St Paul'S Lutheran School	San Diego	92109	32.800060	-117.245581	2021-22,2023-24
St Peter The Apostle Catholic School	Fallbrook	92028	33.375240	-117.225471	2021-22,2023-24
St Pius X School	Chula Vista	91911	32.615960	-117.055191	2021-22,2023-24
St Rita'S School	San Diego	92114	32.704720	-117.083461	2021-22,2023-24
St Rose Of Lima School	Chula Vista	91910	32.635660	-117.077191	2021-22,2023-24
St Therese Academy	San Diego	92120	32.794627	-117.065322	2021-22,2023-24
St Vincent De Paul Elementary School	San Diego	92103	32.751160	-117.172971	2021-22,2023-24
Stars Montessori Academy	Vista	92081	33.166179	-117.245198	2021-22,2023-24
Stella Maris Academy	La Jolla	92037	32.843610	-117.272391	2021-22,2023-24
