league	program	number	name	organization	org_type	city	postal_code	website
CYBERPATRIOT	CyberPatriot	del-norte-high	CyberPatriot Team at Del Norte High School	Del Norte High School	school	San Diego	92127	https://cyberaegis.tech
CYBERPATRIOT	CyberPatriot	scripps-ranch-high	CyberPatriot Team at Scripps Ranch High School	Scripps Ranch High School	school	San Diego	92131	
CYBERPATRIOT	CyberPatriot	canyon-crest-academy	CyberPatriot Team at Canyon Crest Academy	Canyon Crest Academy	school	San Diego	92130	https://sites.google.com/view/cca-cyberpatriot/
